number,Chinese entity name,entity binomial scientific name,Chinese condition,English condition,Chinese relation,English relation
1,斜纹夜蛾,Spodoptera litura,相对湿度75%～80%,Relative humidity 75%～80%,适宜发生条件,ConditionIs
2,斜纹夜蛾,Spodoptera litura,田间水肥好,Good water and fertilizer in the field,适宜发生条件,ConditionIs
3,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,土质粘重,Heavy soil,适宜发生条件,ConditionIs
4,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
5,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,排水不良,Poor drainage,适宜发生条件,ConditionIs
6,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,地温低,Low ground temperature,适宜发生条件,ConditionIs
7,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,耕作粗放,Extensive farming,适宜发生条件,ConditionIs
8,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,土壤过酸,Soil is too acidic,适宜发生条件,ConditionIs
9,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,施肥不足,Insufficient fertilization,适宜发生条件,ConditionIs
10,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
11,草莓根腐病,Phytophthora fragariae,土壤板结,Soil compaction,适宜发生条件,ConditionIs
12,草莓根腐病,Phytophthora fragariae,地力下降,Land fertility decline,适宜发生条件,ConditionIs
13,草莓根腐病,Phytophthora fragariae,土壤湿度过大,Excessive soil moisture,适宜发生条件,ConditionIs
14,草莓炭疽病,Colletotrichum fragariae,凉爽,cool,适宜发生条件,ConditionIs
15,草莓白粉病,Podosphaera aphanis,空气湿度为80%,Air humidity is 80%,适宜发生条件,ConditionIs
16,草莓白粉病,Podosphaera aphanis,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
17,草莓灰霉病,Botrytis cinerea,温暖湿润,Warm and humid,适宜发生条件,ConditionIs
18,草莓青枯病,Ralstonia solanacearum,状态，湿度小,"State, low humidity",适宜发生条件,ConditionIs
19,草莓畸形果,Strawberry malformed fruit,低温,Low temperature,适宜发生条件,ConditionIs
